"","effect","group","term","estimate","std.error","statistic","p.value"
"1","fixed",NA,"(Intercept)",-0.485746684663229,0.0504155973408425,-9.63484933797894,5.69755181803371e-22
"2","fixed",NA,"shot_dist",-0.657685835214481,0.0124561945866831,-52.7999005344385,0
"3","fixed",NA,"time_elapsed",-0.0181261539235474,0.00656566884021759,-2.76074751326427,0.00576692410349192
"4","fixed",NA,"season_type3",-0.0575883465683914,0.0243887120402958,-2.36127051208125,0.0182124401669433
"5","fixed",NA,"shot_type3",0.5649143095704,0.0261691048560753,21.5870704281752,2.3760497101811e-103
"6","fixed",NA,"team_id5",-0.0967371323553487,0.072495549262347,-1.33438719120916,0.182076995653825
"7","fixed",NA,"team_id6",-0.0131800074263123,0.0718847400077797,-0.183349170142173,0.854524056046362
"8","fixed",NA,"team_id8",0.0334228285696455,0.0730155060166365,0.457749735542888,0.647132251519084
"9","fixed",NA,"team_id9",0.013269566199824,0.0681855763909518,0.194609577306218,0.845698604808553
"10","fixed",NA,"team_id11",0.0199697785857348,0.0722154728803979,0.2765304690147,0.782140660757052
"11","fixed",NA,"team_id14",0.132898722296035,0.0693231136042275,1.91709107376173,0.0552263624468266
"12","fixed",NA,"team_id16",0.054996706898523,0.072134302946526,0.762420993231094,0.445808780660652
"13","fixed",NA,"team_id17",0.0874429771417689,0.0728893216248787,1.19966786893408,0.230268356592357
"14","fixed",NA,"team_id18",0.0129169650990576,0.0667265249497681,0.193580665391784,0.846504238591718
"15","fixed",NA,"team_id19",0.118728648199955,0.0705446567512898,1.68302822166307,0.0923696282477489
"16","fixed",NA,"team_id20",-0.0205305722211652,0.0704815823127961,-0.291289888045516,0.770829620474216
"17","fixed",NA,"season2023",0.0147957581913534,0.0610979775710906,0.242164450928638,0.808652739375441
"18","fixed",NA,"season2024",0.0357284106754286,0.0637126597061906,0.560774119934552,0.574951531497465
"19","fixed",NA,"team_id5:season2023",0.0544682331555773,0.088034518258125,0.618714502371349,0.536104454462548
"20","fixed",NA,"team_id6:season2023",-0.0867387176050706,0.0894141889965203,-0.970077776005396,0.332007725726949
"21","fixed",NA,"team_id8:season2023",-0.0598717804978779,0.08942567638458,-0.669514427158438,0.503167380731941
"22","fixed",NA,"team_id9:season2023",0.0233671567134854,0.0896712389392255,0.260586972923642,0.79441103678048
"23","fixed",NA,"team_id11:season2023",-0.00636804286534775,0.0908612841574705,-0.0700853275891565,0.944125744871541
"24","fixed",NA,"team_id14:season2023",-0.198970043891771,0.0875049521699825,-2.27381466942879,0.0229771318749054
"25","fixed",NA,"team_id16:season2023",-0.0467893456689795,0.0854788126020238,-0.547379452810412,0.584118068548676
"26","fixed",NA,"team_id17:season2023",0.00600183565326021,0.0802701003075935,0.074770501472669,0.940397312513088
"27","fixed",NA,"team_id18:season2023",0.0023802837424244,0.0829753366385588,0.0286866415835459,0.977114510456409
"28","fixed",NA,"team_id19:season2023",-0.0817063562888837,0.0911203459353659,-0.896686195055056,0.369886389075313
"29","fixed",NA,"team_id20:season2023",-0.0243111524512433,0.087005539583888,-0.279420742259787,0.779921954733568
"30","fixed",NA,"team_id5:season2024",0.0908110169098612,0.0923180484253263,0.983675656698007,0.325275012713062
"31","fixed",NA,"team_id6:season2024",-0.0798968310129977,0.096156422807321,-0.830904776616905,0.406027425041874
"32","fixed",NA,"team_id8:season2024",0.00670990640510551,0.0924440486584986,0.0725834329248479,0.942137610553063
"33","fixed",NA,"team_id9:season2024",-0.00464781277173637,0.091976543787013,-0.050532587770412,0.95969798128251
"34","fixed",NA,"team_id11:season2024",0.00139934243334804,0.0930531917922766,0.0150380917236219,0.98800179101239
"35","fixed",NA,"team_id14:season2024",-0.180847438006231,0.0895092217148775,-2.02043358819835,0.0433384323569839
"36","fixed",NA,"team_id16:season2024",-0.0457624194741065,0.0914833720526949,-0.500226636243219,0.616915504968687
"37","fixed",NA,"team_id17:season2024",-0.113319221663855,0.0845635915859433,-1.34004740738438,0.180229932798478
"38","fixed",NA,"team_id18:season2024",-0.0531726976553915,0.0868013902803979,-0.612578870956164,0.540154832603621
"39","fixed",NA,"team_id19:season2024",-0.25169925191624,0.098547900104618,-2.5540803167702,0.0106468694265845
"40","fixed",NA,"team_id20:season2024",-0.115612412113877,0.0920094677202567,-1.25652734417921,0.208924838355661
"41","ran_pars","athlete_id_1","sd__(Intercept)",0.144348410886515,NA,NA,NA
