"p.adjust(sim_results_2022$p_value, method = ""BY"")",game_id,observed_stat,p_valuesim,mean.x,sd.x,miss_streakssim,make_streakssim,p_valueunadj,diff,miss_streaksunadj,make_streaksunadj,observed,p_adj,mean.y,sd.y,miss_streaks,make_streaks,p_valueperm
1,401391652,-0.4,0.8166481462774018,-0.13669627710522891,0.2834271883625227,2,10,NA,NA,NA,NA,-0.4,1,-0.12718260602629303,0.2869062708984305,2,10,0.8072337846029501
1,401391657,0,0.4015549273021002,-0.11479460300859021,0.2825125677810384,8,4,0.5,0,8,4,0,1,-0.12200266811504051,0.2816248446270908,8,4,0.38595082789764174
1,401391659,-0.20454545454545453,0.63293327908869,-0.11376539263386216,0.28515287565352015,11,4,0.7417700715135795,-0.20454545454545453,11,4,-0.20454545454545453,1,-0.13546604102520787,0.29124439615071773,11,4,0.6103315029489527
1,401391665,-0.2142857142857143,0.6356415478615072,-0.1252186816492154,0.2791379586206951,8,7,0.7841375818301614,-0.2142857142857143,8,7,-0.2142857142857143,1,-0.1178468376963692,0.27492769948907003,8,7,0.6660993191830197
1,401391675,-0.5,0.8925005094762584,-0.14994969783554257,0.29523815988723284,6,4,NA,NA,NA,NA,-0.5,1,-0.12905956388609552,0.29127110930399414,6,4,0.9000300812192921
1,401391678,0.35,0.03232976358860376,-0.12261943791913237,0.2813715635930716,10,8,0.07494065247860483,0.35,10,8,0.35,1,-0.12088067898710128,0.2791224669746406,10,8,0.02794471153846154
1,401391683,-0.5,0.9361038438317568,-0.08035637215973354,0.26905397699337147,8,4,NA,NA,NA,NA,-0.5,1,-0.11054551893273182,0.2695825806238153,8,4,0.918234587670136
1,401391687,0.2051282051282051,0.14313267688559536,-0.08654461232687362,0.2723321352855446,13,12,0.1605372694200197,0.20512820512820507,13,12,0.2051282051282051,1,-0.10803383651054128,0.2667907082545162,13,12,0.111333400020006
1,401391696,0.16666666666666669,0.13827976369280065,-0.0919635451607919,0.24193509513178027,21,2,0.3978590787380178,0.16666666666666669,21,2,0.16666666666666669,1,-0.11107744163678861,0.2654629815973153,21,2,0.16865992026985588
1,401391703,-0.15555555555555556,0.6014148559878727,-0.1016849497970831,0.267303103522697,9,5,0.6901966289999446,-0.15555555555555556,9,5,-0.15555555555555556,1,-0.11387548556375984,0.2691489053825319,9,5,0.586915138763651
