team,year,season_type,team_id,team_sdr,team_slug,team_location,team_name,team_abbreviation,team_display_name,team_short_display_name,team_color,team_alternate_color,team_is_active,team_is_all_star,defensive_blocks,defensive_defensive_rebounds,defensive_steals,defensive_avg_defensive_rebounds,defensive_avg_blocks,defensive_avg_steals,defensive_avg48defensive_rebounds,defensive_avg48blocks,defensive_avg48steals,general_disqualifications,general_flagrant_fouls,general_fouls,general_ejections,general_technical_fouls,general_rebounds,general_avg_minutes,general_nba_rating,general_plus_minus,general_game_day_of_year,general_avg_rebounds,general_avg_fouls,general_avg_flagrant_fouls,general_avg_technical_fouls,general_avg_ejections,general_avg_disqualifications,general_assist_turnover_ratio,general_steal_foul_ratio,general_block_foul_ratio,general_avg_team_rebounds,general_total_rebounds,general_total_technical_fouls,general_team_assist_turnover_ratio,general_team_rebounds,general_steal_turnover_ratio,general_avg48rebounds,general_avg48fouls,general_avg48flagrant_fouls,general_avg48technical_fouls,general_avg48ejections,general_avg48disqualifications,general_games_played,general_games_started,general_double_double,general_triple_double,offensive_assists,offensive_field_goals,offensive_field_goals_attempted,offensive_field_goals_made,offensive_field_goal_pct,offensive_free_throws,offensive_free_throw_pct,offensive_free_throws_attempted,offensive_free_throws_made,offensive_offensive_rebounds,offensive_points,offensive_turnovers,offensive_three_point_pct,offensive_three_point_field_goals_attempted,offensive_three_point_field_goals_made,offensive_team_turnovers,offensive_total_turnovers,offensive_points_in_paint,offensive_brick_index,offensive_avg_field_goals_made,offensive_avg_field_goals_attempted,offensive_avg_three_point_field_goals_made,offensive_avg_three_point_field_goals_attempted,offensive_avg_free_throws_made,offensive_avg_free_throws_attempted,offensive_avg_points,offensive_avg_points_allowed,offensive_avg_offensive_rebounds,offensive_avg_assists,offensive_avg_turnovers,offensive_offensive_rebound_pct,offensive_estimated_possessions,offensive_avg_estimated_possessions,offensive_points_per_estimated_possessions,offensive_avg_team_turnovers,offensive_avg_total_turnovers,offensive_three_point_field_goal_pct,offensive_two_point_field_goals_made,offensive_two_point_field_goals_attempted,offensive_avg_two_point_field_goals_made,offensive_avg_two_point_field_goals_attempted,offensive_two_point_field_goal_pct,offensive_shooting_efficiency,offensive_scoring_efficiency,offensive_avg48field_goals_made,offensive_avg48field_goals_attempted,offensive_avg48three_point_field_goals_made,offensive_avg48three_point_field_goals_attempted,offensive_avg48free_throws_made,offensive_avg48free_throws_attempted,offensive_avg48points,offensive_avg48offensive_rebounds,offensive_avg48assists,offensive_avg48turnovers
14,2022,postseason,14,2794,seattle-storm,Seattle,Storm,SEA,Seattle Storm,Storm,2c5235,fee11a,TRUE,FALSE,25,160,31,26.666666,4.1666665,5.1666665,0,0,0,1,0,91,0,0,200,0,164.25,-1,0,33.333332,15.166667,0,0,0,0.16666667,2.66,0.34065935,0.2747253,0,200,11,2.509434,0,0.62,0,0,0,0,0,0,6,0,0,0,133,0.465394,419,195,46.539,0.795918,79.592,98,78,40,522,50,39.13,138,54,53,103,2202,0,32.5,69.833336,9,23,13,16.333334,87,87.5,6.6666665,22.166666,8.333333,0.17857143,521.2,86.86667,1.0015349,8.833333,17.16666603088379,39.13043439388275,141,281,23.5,46.833332,50.177937746047974,0.52983296,1.2458234,0,0,0,0,0,0,0,0,0,0
16,2022,regular,16,2796,washington-mystics,Washington,Mystics,WSH,Washington Mystics,Mystics,e03a3e,002b5c,TRUE,FALSE,133,968,274,26.88889,3.6944444,7.611111,0,0,0,3,3,572,0,0,1257,0,150.875,-1,0,34.916668,15.888889,0.083333336,0,0,0.083333336,1.5813448,0.47902098,0.23251748,0,1257,97,2.0306406,0,0.5943601,0,0,0,0,0,0,36,0,0,0,729,0.439035,2403,1055,43.903,0.783826,78.383,643,504,289,2888,461,33.785,811,274,359,820,13344,0,29.305555,66.75,7.611111,22.527779,14,17.86111,80.22222,75.861115,8.027778,20.25,12.805555,0.2143917,3191.2,88.64444,0.9049887,9.972222,22.777777671813965,33.78545045852661,781,1592,21.694445,44.22222,49.05778765678406,0.4960466,1.2018311,0,0,0,0,0,0,0,0,0,0
16,2022,postseason,16,2796,washington-mystics,Washington,Mystics,WSH,Washington Mystics,Mystics,e03a3e,002b5c,TRUE,FALSE,8,39,13,19.5,4,6.5,0,0,0,0,0,28,0,0,52,0,151.65,-1,0,26,14,0,0,0,0,2.05,0.4642857,0.2857143,0,52,0,1.1388888,0,0.65,0,0,0,0,0,0,2,0,0,0,41,0.465649,131,61,46.565,0.8,80,30,24,13,167,20,45.652,46,21,36,56,744,0,30.5,65.5,10.5,23,12,15,83.5,91.5,6.5,20.5,10,0.18571429,186,93,0.89784944,18,28,45.652174949645996,40,85,20,42.5,47.05882370471954,0.5458015,1.2748091,0,0,0,0,0,0,0,0,0,0
17,2022,regular,17,15431,las-vegas-aces,Las Vegas,Aces,LV,Las Vegas Aces,Aces,a7a8aa,000000,TRUE,FALSE,140,1023,276,28.416666,3.8888888,7.6666665,0,0,0,3,2,569,0,0,1272,0,168.19028,-1,0,35.333332,15.805555,0.055555556,0,0,0.083333336,1.87,0.48506153,0.2460457,0,1272,51,3.2663755,0,0.69,0,0,0,0,0,0,36,0,0,0,748,0.459866,2529,1163,45.987,0.823282,82.328,713,587,249,3256,400,36.067,951,343,229,629,13616,0,32.305557,70.25,9.527778,26.416666,16.305555,19.805555,90.44444,84.083336,6.9166665,20.777779,11.111111,0.18228404,3194.2,88.727776,1.0193475,6.361111,17.472221851348877,36.06729805469513,820,1578,22.777779,43.833332,51.9645094871521,0.5276789,1.2874655,0,0,0,0,0,0,0,0,0,0
17,2022,postseason,17,15431,las-vegas-aces,Las Vegas,Aces,LV,Las Vegas Aces,Aces,a7a8aa,000000,TRUE,FALSE,45,298,55,29.8,4.5,5.5,0,0,0,0,2,147,0,0,347,0,161.76,-1,0,34.7,14.7,0.2,0,0,0,1.815534,0.37414965,0.30612245,0,347,13,1.4384615,0,0.5339806,0,0,0,0,0,0,10,0,0,0,187,0.480122,654,314,48.012,0.832298,83.23,161,134,49,860,103,38.132,257,98,130,233,3648,0,31.4,65.4,9.8,25.7,13.4,16.1,86,79.3,4.9,18.7,10.3,0.14411765,902.4,90.240005,0.95301414,13,23.300000190734863,38.13229501247406,216,397,21.6,39.7,54.408061504364014,0.55504584,1.3149847,0,0,0,0,0,0,0,0,0,0
18,2022,regular,18,15432,connecticut-sun,Connecticut,Sun,CON,Connecticut Sun,Sun,f05023,0a2240,TRUE,FALSE,97,969,318,26.916666,2.6944444,8.833333,0,0,0,2,1,615,0,0,1336,0,160.82501,-1,0,37.11111,17.083334,0.027777778,0,0,0.055555556,1.4661509,0.51707315,0.15772358,0,1336,56,1.512974,0,0.61508703,0,0,0,0,0,0,36,0,0,0,758,0.461755,2484,1147,46.176,0.788811,78.881,715,564,367,3088,517,35.439,649,230,501,1018,15766,0,31.86111,69,6.388889,18.027779,15.666667,19.86111,85.77778,77.75,10.194445,21.055555,14.361111,0.27449512,3421,95.02778,0.90266,13.916667,28.277777671813965,35.43913662433624,917,1835,25.472221,50.97222,49.97275173664093,0.5080515,1.2431562,0,0,0,0,0,0,0,0,0,0
18,2022,postseason,18,15432,connecticut-sun,Connecticut,Sun,CON,Connecticut Sun,Sun,f05023,0a2240,TRUE,FALSE,43,348,89,29,3.5833333,7.4166665,0,0,0,0,1,190,0,0,465,0,153.9875,-1,0,38.75,15.833333,0.083333336,0,0,0,1.7655172,0.46842104,0.2263158,0,465,7,1.882353,0,0.6137931,0,0,0,0,0,0,12,0,0,0,256,0.444043,831,369,44.404,0.763547,76.355,203,155,117,949,145,34.146,164,56,136,281,5972,0,30.75,69.25,4.6666665,13.666667,12.916667,16.916666,79.083336,74,9.75,21.333334,12.083333,0.25324675,1076.2,89.68333,0.8818064,11.333333,23.41666603088379,34.14634168148041,313,667,26.083334,55.583332,46.92653715610504,0.47773767,1.1419976,0,0,0,0,0,0,0,0,0,0
19,2022,regular,19,47756,chicago-sky,Chicago,Sky,CHI,Chicago Sky,Sky,5091cd,ffd520,TRUE,FALSE,155,994,261,27.61111,4.3055553,7.25,0,0,0,3,3,584,0,0,1254,0,167.91528,-1,0,34.833332,16.222221,0.083333336,0,0,0.083333336,1.7656566,0.4469178,0.26541096,0,1254,35,2.2642486,0,0.5272727,0,0,0,0,0,0,36,0,0,0,874,0.481375,2443,1176,48.138,0.823038,82.304,599,493,260,3105,495,34.483,754,260,386,881,16250,0,32.666668,67.861115,7.2222223,20.944445,13.694445,16.63889,86.25,81.25,7.2222223,24.277779,13.75,0.20520915,3303.6,91.76667,0.9398837,10.722222,24.472222328186035,34.48275923728943,916,1689,25.444445,46.916668,54.23327684402466,0.53458863,1.2709783,0,0,0,0,0,0,0,0,0,0
19,2022,postseason,19,47756,chicago-sky,Chicago,Sky,CHI,Chicago Sky,Sky,5091cd,ffd520,TRUE,FALSE,48,221,73,27.625,6,9.125,0,0,0,0,0,117,0,0,272,0,159.43124,-1,0,34,14.625,0,0,0,0,2.0813954,0.62393165,0.41025642,0,272,3,3.58,0,0.8488372,0,0,0,0,0,0,8,0,0,0,179,0.440072,559,246,44.007,0.767442,76.744,129,99,51,648,86,30,190,57,50,136,3140,0,30.75,69.875,7.125,23.75,12.375,16.125,81,78.125,6.375,22.375,10.75,0.1629393,695.6,86.95,0.9315699,6.25,17,30.000001192092896,189,369,23.625,46.125,51.21951103210449,0.49105546,1.1592128,0,0,0,0,0,0,0,0,0,0
20,2022,regular,20,77967,atlanta-dream,Atlanta,Dream,ATL,Atlanta Dream,Dream,e31837,5091cc,TRUE,FALSE,112,966,280,26.833334,3.1111112,7.7777777,0,0,0,5,7,702,0,0,1277,0,141.0875,-1,0,35.47222,19.5,0.19444445,0,0,0.1388889,1.1532847,0.3988604,0.15954416,0,1277,119,1.7604457,0,0.5109489,0,0,0,0,0,0,36,0,0,0,632,0.420219,2463,1035,42.022,0.777244,77.724,624,485,311,2826,548,35.149,771,271,359,907,12242,0,28.75,68.416664,7.5277777,21.416666,13.472222,17.333334,78.5,81.5,8.638889,17.555555,15.222222,0.21778712,3308.6,91.905556,0.85413766,9.972222,25.19444465637207,35.14915704727173,764,1692,21.222221,47,45.15366554260254,0.47523347,1.1473812,0,0,0,0,0,0,0,0,0,0
3,2023,regular,3,2783,dallas-wings,Dallas,Wings,DAL,Dallas Wings,Wings,002b5c,c4d600,TRUE,FALSE,171,1076,303,26.9,4.275,7.575,0,0,0,6,4,754,0,0,1547,0,163.465,-1,0,38.675,18.85,0.1,0,0,0.15,1.5544933,0.40185675,0.22679046,0,1547,128,2.7938144,0,0.5793499,0,0,0,0,0,0,40,0,0,0,813,0.442584,2926,1295,44.258,0.806412,80.641,811,654,471,3514,523,31.653,853,270,291,814,18324,0,32.375,73.15,6.75,21.325,16.35,20.275,87.85,84.9,11.775,20.325,13.075,0.28877988,3593.4,89.835,0.97790396,7.275,20.34999990463257,31.652989983558655,1025,2073,25.625,51.825,49.445247650146484,0.48872182,1.200957,0,0,0,0,0,0,0,0,0,0
3,2023,postseason,3,2783,dallas-wings,Dallas,Wings,DAL,Dallas Wings,Wings,002b5c,c4d600,TRUE,FALSE,25,130,47,26,5,9.4,0,0,0,0,0,73,0,0,195,0,157.9,-1,0,39,14.6,0,0,0,0,1.5396825,0.6438356,0.34246576,0,195,0,3.2333333,0,0.74603176,0,0,0,0,0,0,5,0,0,0,97,0.425587,383,163,42.559,0.666667,66.667,87,58,65,423,63,34.513,113,39,30,93,2140,0,32.6,76.6,7.8,22.6,11.6,17.4,84.6,81.6,13,19.4,12.6,0.29545453,445.8,89.159996,0.948856,6,18.600000381469727,34.51327383518219,124,270,24.8,54,45.92592716217041,0.47650132,1.1044387,0,0,0,0,0,0,0,0,0,0
9,2023,regular,9,2789,new-york-liberty,New York,Liberty,NY,New York Liberty,Liberty,86cebc,000000,TRUE,FALSE,178,1168,266,29.2,4.45,6.65,0,0,0,2,8,640,0,0,1515,0,172.96126,-1,0,37.875,16,0.2,0,0,0.05,1.787037,0.415625,0.278125,0,1515,71,3.20598,0,0.4925926,0,0,0,0,0,0,40,0,0,0,965,0.459778,2797,1286,45.978,0.829085,82.909,667,553,347,3569,540,37.405,1187,444,301,841,15386,0,32.15,69.925,11.1,29.675,13.825,16.675,89.225,80.55,8.675,24.125,13.5,0.22964925,3557.8,88.945,1.003148,7.525,21.02500009536743,37.40522265434265,842,1610,21.05,40.25,52.298134565353394,0.5391491,1.27601,0,0,0,0,0,0,0,0,0,0
9,2023,postseason,9,2789,new-york-liberty,New York,Liberty,NY,New York Liberty,Liberty,86cebc,000000,TRUE,FALSE,62,268,51,26.8,6.2,5.1,0,0,0,0,0,139,0,0,367,0,154.84,-1,0,36.7,13.9,0,0,0,0,1.6949153,0.36690646,0.44604316,0,367,21,3.3333333,0,0.43220338,0,0,0,0,0,0,10,0,0,0,200,0.425952,709,302,42.595,0.78481,78.481,158,124,99,820,118,33.094,278,92,60,178,3500,0,30.2,70.9,9.2,27.8,12.4,15.8,82,82.6,9.9,20,11.8,0.24324325,851.2,85.12,0.9633458,6,17.800000190734863,33.09352397918701,210,431,21,43.1,48.72389733791351,0.49083215,1.1565585,0,0,0,0,0,0,0,0,0,0
14,2023,regular,14,2794,seattle-storm,Seattle,Storm,SEA,Seattle Storm,Storm,2c5235,fee11a,TRUE,FALSE,178,1067,279,26.675,4.45,6.975,0,0,0,3,5,717,0,0,1396,0,142.02126,-1,0,34.9,17.925,0.125,0,0,0.075,1.2214533,0.38912135,0.24825662,0,1396,106,1.6118722,0,0.48269895,0,0,0,0,0,0,40,0,0,0,706,0.40986,2718,1114,40.986,0.78629,78.629,744,585,329,3153,578,35.124,968,340,438,1016,14826,0,27.85,67.95,8.5,24.2,14.625,18.6,78.825,84.45,8.225,17.65,14.45,0.20511222,3702.6,92.565,0.85156375,10.95,25.399999618530273,35.12396812438965,774,1750,19.35,43.75,44.22857165336609,0.47240618,1.1600442,0,0,0,0,0,0,0,0,0,0
