"p.adjust(sim_results_2024$p_value, method = ""BY"")",game_id,observed_stat,p_valuesim,mean.x,sd.x,miss_streakssim,make_streakssim,p_valueunadj,diff,miss_streaksunadj,make_streaksunadj,observed,p_adj,mean.y,sd.y,miss_streaks,make_streaks,p_valueperm
1,401620178,0.13636363636363635,0.1931400571661903,-0.12472738815351778,0.2828940252399408,11,6,0.3127013555877134,0.13636363636363635,11,6,0.13636363636363635,1,-0.11796519428479484,0.2747407653197009,11,6,0.18154523618895116
1,401620224,0.16346153846153844,0.153931228634627,-0.10039063468106509,0.255902500830041,13,8,0.24666343720690997,0.16346153846153844,13,8,0.16346153846153844,1,-0.10191262121174711,0.25493481834581616,13,8,0.1528917350410246
1,401620227,0.0714285714285714,0.2654739872506683,-0.1363992937542245,0.2935245145824163,6,7,0.40857750811331817,0.0714285714285714,6,7,0.0714285714285714,1,-0.1265891689397071,0.2867026442390575,6,7,0.26812174609531436
1,401620233,-0.3,0.7084138773018618,-0.13608619317833545,0.2862844777636552,10,2,NA,NA,NA,NA,-0.3,1,-0.13641192055611298,0.2935683155039726,10,2,0.6941020678414994
1,401620252,0.3025210084033614,0.06187766714082503,-0.09811271923420932,0.27926502104173073,17,7,0.09907405120485498,0.3025210084033614,17,7,0.3025210084033614,1,-0.12408542646564266,0.2860148310783236,17,7,0.05529626623376623
1,401620259,-0.16666666666666669,0.5514690560533444,-0.14464465278769836,0.29273297055896286,10,6,0.7260255200020924,-0.16666666666666669,10,6,-0.16666666666666669,1,-0.1280237673323256,0.2935351110728492,10,6,0.5988126383578185
1,401620263,0.2142857142857143,0.1190644932671864,-0.11782784241664018,0.28360399595528546,6,14,0.21325460380099032,0.2142857142857143,6,14,0.2142857142857143,1,-0.1274555965410013,0.28737401548085584,6,14,0.11735620585267406
1,401620267,0.14705882352941174,0.15559352698763695,-0.11890752242751872,0.26007021025831323,17,6,0.2888645338639396,0.14705882352941174,17,6,0.14705882352941174,1,-0.1061510848997082,0.2636277038489585,17,6,0.17298055722589695
1,401620272,-0.02380952380952383,0.40645420729868303,-0.10909904902169015,0.26642615429613187,14,3,0.5241304480656148,-0.023809523809523836,14,3,-0.02380952380952383,1,-0.1181620337377593,0.27586254221637846,14,3,0.4015892420537897
1,401620277,-0.26666666666666666,0.6659158390498617,-0.14023563358483834,0.30161600046873005,5,6,0.78398010615246,-0.26666666666666666,5,6,-0.26666666666666666,1,-0.1399569199194003,0.29612222651823117,5,6,0.697986577181208
1,401620279,-0.12698412698412703,0.5151484343228955,-0.141239666769034,0.2868383082577498,9,7,0.678406748906332,-0.12698412698412703,9,7,-0.12698412698412703,1,-0.12441722579213974,0.28459863759102644,9,7,0.5433890501451306
1,401620294,-0.15000000000000002,0.5228504242919947,-0.1470043274212545,0.2846171124447572,8,10,0.7370881082174523,-0.15000000000000002,8,10,-0.15000000000000002,1,-0.11919510854135448,0.2748349965035061,8,10,0.5718002601821275
1,401620300,-0.8333333333333334,0.9972521880724609,-0.12304393731535694,0.26615038787228423,6,2,NA,NA,NA,NA,-0.8333333333333334,1,-0.11752196225422984,0.2700687206794961,6,2,0.9970839617898442
1,401620309,0.25,0.09121415497254425,-0.11783855110997116,0.27909978009496034,4,8,0.24253121928235444,0.25,4,8,0.25,1,-0.1248920487339517,0.2797217613184146,4,8,0.08138719053823795
0.8879693220528418,401620311,0.48333333333333334,0.00414895770087026,-0.12847025480595128,0.2750153688056685,15,16,0.0029704174552711753,0.48333333333333334,15,16,0.48333333333333334,0.6209750542960732,-0.11408601625065508,0.2684309479568637,15,16,0.00290145072536268
1,401620323,-0.20512820512820512,0.6142696743901194,-0.12951496030342596,0.27315328344170353,13,3,0.6929091717790314,-0.20512820512820512,13,3,-0.20512820512820512,1,-0.12143752747372503,0.27810378076590764,13,3,0.6227379613536448
1,401620328,0,0.3937771492069906,-0.10571334476322372,0.266174490402057,12,4,0.5,0,12,4,0,1,-0.12199814205537912,0.2793090422231766,12,4,0.3775912106135987
1,401620338,-0.10989010989010987,0.5165968746808294,-0.11727781827070669,0.2680177162792266,13,7,0.6672108462230173,-0.10989010989010989,13,7,-0.10989010989010987,1,-0.12284176357323386,0.2785373758192738,13,7,0.5132232242375114
1,401620345,-0.4,0.7668711656441718,-0.15238409644932038,0.3030431676731838,5,5,0.8785621939248586,-0.39999999999999997,5,5,-0.4,1,-0.14092593260720893,0.3066409485699229,5,5,0.7935283510318574
1,401620350,-0.16666666666666669,0.6121366649668536,-0.10757639185931173,0.29069579638513227,8,6,0.7160823596697904,-0.16666666666666669,8,6,-0.16666666666666669,1,-0.12970803629441666,0.2880499036475556,8,6,0.5997396354896856
1,401620354,0,0.371918433600487,-0.13043138216655414,0.27991828653096634,9,3,0.5,0,9,3,0,1,-0.12081951945511636,0.27626486677583456,9,3,0.378672032193159
1,401620362,-0.16666666666666669,0.5632195830308059,-0.14426923740082176,0.298951759557601,6,3,0.650073673007175,-0.16666666666666669,6,3,-0.16666666666666669,1,-0.14394521431301402,0.30196651244398875,6,3,0.5724805810551801
1,401620368,-0.16666666666666669,0.6321002627855266,-0.09728681804632214,0.26862356080848504,6,9,0.7183990557081277,-0.16666666666666669,6,9,-0.16666666666666669,1,-0.11086025782515171,0.26547423513486007,6,9,0.6221977582065652
1,401620373,-0.42857142857142855,0.8834536763958101,-0.09691097104093,0.26691886198692105,14,3,NA,NA,NA,NA,-0.42857142857142855,1,-0.11952212283036272,0.2753730393648254,14,3,0.8486196784305794
1,401620380,-0.19999999999999996,0.6438369981843857,-0.10849266197823206,0.26403264372118995,10,5,0.7415634611214252,-0.19999999999999996,10,5,-0.19999999999999996,1,-0.10859198601222968,0.264232951328499,10,5,0.6609592470211275
1,401620384,0.125,0.1886317907444668,-0.11800659593590944,0.2640172009931127,24,4,0.3524331864440525,0.125,24,4,0.125,1,-0.12374693284878,0.2760645693452531,24,4,0.2198093220338983
1,401620389,-0.10416666666666669,0.5107080643508556,-0.12571505667983593,0.2886447602705836,16,3,0.6039993584012004,-0.10416666666666669,16,3,-0.10416666666666669,1,-0.1420287667903606,0.28930132080606136,16,3,0.4714970697922216
