game_id,observed,p_value,p_adj,miss_streaks,make_streaks
401391727,0.5,0.004,0.188,12,9
401391828,0.4415584415584416,0.00840504302581549,0.19751851110666402,11,14
401391678,0.35,0.02794471153846154,0.41342373223107165,10,8
401455683,0.34523809523809523,0.03518499848775078,0.41342373223107165,12,7
401391782,0.2828282828282829,0.05232616308154077,0.4845360824742268,9,11
401391792,0.2678571428571429,0.061855670103092786,0.4845360824742268,8,14
401391747,0.25,0.07662988966900702,0.5145149734919043,16,6
401391687,0.20512820512820507,0.111333400020006,0.608049081391084,13,12
401391734,0.19999999999999996,0.11643493047914374,0.608049081391084,5,5
401391696,0.16666666666666669,0.16865992026985588,0.6846850748962281,21,2
401391799,0.14285714285714285,0.17826174631982256,0.6846850748962281,14,7
401391822,0.11688311688311687,0.20440220110055027,0.6846850748962281,7,11
401455684,0.11428571428571432,0.20799437581600883,0.6846850748962281,14,5
401391775,0.125,0.21178831731277067,0.6846850748962281,16,4
401455652,0.1228070175438597,0.21851651326475366,0.6846850748962281,3,19
401391715,0.09999999999999998,0.23499194198227236,0.690288829572925,20,10
401391770,0.0714285714285714,0.26635327065413084,0.7363884541614205,8,7
401455678,0,0.38259905232382296,0.9261940415455069,4,8
401391657,0,0.38595082789764174,0.9261940415455069,8,4
401455676,-0.04761904761904767,0.4415883176635327,0.9261940415455069,7,9
401455628,-0.06666666666666665,0.44567559248999694,0.9261940415455069,15,5
401455681,-0.08333333333333337,0.44848105230191043,0.9261940415455069,12,4
401391745,-0.04395604395604402,0.45324389267120546,0.9261940415455069,13,7
401391787,-0.125,0.5455091619104836,0.9821887314622627,8,6
401391833,-0.16666666666666669,0.5717649467649467,0.9821887314622627,8,3
401391864,-0.14545454545454545,0.5724615848147032,0.9821887314622627,5,11
401391703,-0.15555555555555556,0.586915138763651,0.9821887314622627,9,5
401391854,-0.16666666666666663,0.5933900851276915,0.9821887314622627,6,4
401391659,-0.20454545454545453,0.6103315029489527,0.9821887314622627,11,4
401391665,-0.2142857142857143,0.6660993191830197,0.9821887314622627,8,7
401391850,-0.22499999999999998,0.6787751425998199,0.9821887314622627,10,8
401391767,-0.2857142857142857,0.6915792689135526,0.9821887314622627,14,4
401391814,-0.3,0.7211557890482926,0.9821887314622627,14,5
401455660,-0.3076923076923077,0.7236908741010838,0.9821887314622627,13,4
401391804,-0.35714285714285715,0.7314171404506212,0.9821887314622627,14,2
401391762,-0.37777777777777777,0.7645508010545529,0.9947805868598253,9,5
401391652,-0.4,0.8072337846029501,0.9947805868598253,2,10
401391839,-0.42857142857142855,0.8533186284339283,0.9947805868598253,7,3
401391809,-0.41666666666666663,0.8811881188118812,0.9947805868598253,9,8
401430112,-0.42857142857142855,0.8865886588658866,0.9947805868598253,7,7
401391675,-0.5,0.9000300812192921,0.9947805868598253,6,4
401391707,-0.5,0.9121384969478635,0.9947805868598253,6,6
401391683,-0.5,0.9182345876701361,0.9947805868598253,8,4
401391846,-0.5714285714285714,0.9507655358751126,0.9947805868598253,7,2
401455674,-0.6666666666666666,0.9709249316178705,0.9947805868598253,9,1
401391758,-0.6363636363636364,0.9736150424585523,0.9947805868598253,11,2
401455682,-1,1,1,5,5
