"p.adjust(sim_results_2024$p_value, method = ""BY"")",game_id,observed_stat,p_value,mean,sd,season,team_id,miss_streaks,make_streaks
1,401620178,0.13636363636363635,0.1931400571661903,-0.12472738815351778,0.2828940252399408,2024,9,11,6
1,401620224,0.16346153846153844,0.153931228634627,-0.10039063468106509,0.255902500830041,2024,9,13,8
1,401620227,0.0714285714285714,0.2654739872506683,-0.1363992937542245,0.2935245145824163,2024,9,6,7
1,401620233,-0.3,0.7084138773018618,-0.13608619317833545,0.2862844777636552,2024,9,10,2
1,401620252,0.3025210084033614,0.061877667140825036,-0.09811271923420933,0.27926502104173073,2024,9,17,7
1,401620259,-0.16666666666666669,0.5514690560533444,-0.14464465278769836,0.29273297055896286,2024,9,10,6
1,401620263,0.2142857142857143,0.11906449326718639,-0.11782784241664018,0.28360399595528546,2024,9,6,14
1,401620267,0.14705882352941174,0.15559352698763695,-0.11890752242751872,0.26007021025831323,2024,9,17,6
1,401620272,-0.023809523809523836,0.40645420729868303,-0.10909904902169017,0.26642615429613187,2024,9,14,3
1,401620277,-0.26666666666666666,0.6659158390498617,-0.14023563358483834,0.30161600046873005,2024,9,5,6
1,401620279,-0.12698412698412703,0.5151484343228955,-0.141239666769034,0.2868383082577498,2024,9,9,7
1,401620294,-0.15000000000000002,0.5228504242919947,-0.14700432742125447,0.2846171124447572,2024,9,8,10
1,401620300,-0.8333333333333334,0.9972521880724609,-0.12304393731535694,0.26615038787228423,2024,9,6,2
1,401620309,0.25,0.09121415497254423,-0.11783855110997116,0.27909978009496034,2024,9,4,8
0.8879693220528418,401620311,0.48333333333333334,0.004148957700870269,-0.12847025480595128,0.2750153688056685,2024,9,15,16
1,401620323,-0.20512820512820512,0.6142696743901194,-0.12951496030342596,0.27315328344170353,2024,9,13,3
1,401620328,0,0.3937771492069906,-0.10571334476322373,0.266174490402057,2024,9,12,4
1,401620338,-0.10989010989010989,0.5165968746808294,-0.11727781827070667,0.2680177162792266,2024,9,13,7
1,401620345,-0.39999999999999997,0.7668711656441718,-0.15238409644932038,0.3030431676731838,2024,9,5,5
1,401620350,-0.16666666666666669,0.6121366649668536,-0.10757639185931171,0.29069579638513227,2024,9,8,6
1,401620354,0,0.371918433600487,-0.13043138216655414,0.27991828653096634,2024,9,9,3
1,401620362,-0.16666666666666669,0.5632195830308059,-0.14426923740082176,0.298951759557601,2024,9,6,3
1,401620368,-0.16666666666666669,0.6321002627855266,-0.09728681804632214,0.26862356080848504,2024,9,6,9
1,401620373,-0.42857142857142855,0.8834536763958101,-0.09691097104093,0.26691886198692105,2024,9,14,3
1,401620380,-0.19999999999999996,0.6438369981843857,-0.10849266197823206,0.26403264372118995,2024,9,10,5
1,401620384,0.125,0.1886317907444668,-0.11800659593590944,0.2640172009931127,2024,9,24,4
1,401620389,-0.10416666666666669,0.5107080643508556,-0.12571505667983593,0.2886447602705836,2024,9,16,3
1,401620394,0.14705882352941174,0.18576512455516014,-0.10909917851698467,0.2755850441962568,2024,9,17,4
1,401620399,-0.4,0.8240854911631731,-0.12111572673856504,0.2877930642300908,2024,9,5,4
1,401620405,-0.25,0.656034132466477,-0.14780465903809728,0.2816383118985386,2024,9,8,8
1,401620417,-0.5833333333333334,0.9496314496314496,-0.12728419659629672,0.2774139659864475,2024,9,12,1
1,401620426,-0.21666666666666667,0.6698467471835989,-0.10122207623203548,0.27523946462125737,2024,9,15,4
1,401620430,-0.25974025974025977,0.6910197869101978,-0.1241803978626562,0.2754324646653633,2024,9,7,11
1,401620435,-0.2077922077922078,0.6170017348709051,-0.1276569197369357,0.2789146560976552,2024,9,11,7
1,401620442,-0.3333333333333333,0.7519853390348198,-0.13552218949878214,0.28154513233087963,2024,9,12,2
1,401620448,-0.19444444444444442,0.6382507053607417,-0.11159904805810222,0.26754857655295994,2024,9,8,9
1,401620453,0,0.379359721796052,-0.13552796994536997,0.2930861399360957,2024,9,8,2
1,401677672,0.38749999999999996,0.019611869801827702,-0.13506243148048358,0.28059498144456013,2024,9,16,10
1,401721255,0.25,0.09396728016359918,-0.11723410867488068,0.2821087957190849,2024,9,6,4
1,401721258,-0.19444444444444442,0.6322665586388495,-0.10942524141313915,0.2763859626879901,2024,9,9,8
1,401724938,-0.16666666666666663,0.5598194130925508,-0.13229090297649038,0.29147464965788444,2024,9,6,6
1,401724939,-0.7142857142857143,0.9863265306122448,-0.10830815749750679,0.2781420682504864,2024,9,5,7
1,401724940,-0.26666666666666666,0.6743057706204191,-0.12775045084468786,0.2837492005485443,2024,9,15,3
1,401724941,0.1875,0.1413484971567831,-0.11730696652225758,0.2764059776264605,2024,9,16,2
1,401726988,0.16541353383458646,0.1779290722487552,-0.09995402392587524,0.26871453609371465,2024,9,19,7
1,401726989,0.04761904761904767,0.3021897810218978,-0.1268987743325435,0.29441343327048186,2024,9,9,7
1,401726990,-0.8571428571428571,0.9942094922965568,-0.13842609263153022,0.2938612755114909,2024,9,7,2
1,401726991,-0.6,0.9562632268467197,-0.12251775516233744,0.2668617160601678,2024,9,10,5
