season,team_id,game_id,miss_streaks,make_streaks,fga,fgm
2022,9,401391741,13,6,75,30
2022,9,401391750,18,8,69,31
2022,9,401391755,13,10,68,32
2022,9,401391768,12,6,60,25
2022,9,401391776,16,4,68,27
2022,9,401391782,7,12,73,42
2022,9,401391784,10,2,71,30
2022,9,401391787,15,10,76,34
2022,9,401391792,14,1,63,22
2022,9,401391803,13,2,66,24
2022,9,401391807,12,5,62,26
2022,9,401391813,9,2,72,31
2022,9,401391823,9,5,65,28
2022,9,401391827,6,5,71,35
2022,9,401391832,6,9,64,37
2022,9,401391836,19,2,73,23
2022,9,401391843,27,3,68,21
2022,9,401391848,13,5,62,27
2022,9,401391852,4,11,62,34
2022,9,401391857,7,6,66,31
2022,9,401391861,12,9,60,27
2022,9,401455627,8,9,75,37
2022,9,401455651,16,1,60,20
2022,9,401455657,9,3,69,30
2022,11,401391652,10,8,73,33
2022,11,401391663,1,7,63,36
2022,11,401391667,17,4,69,26
2022,11,401391675,13,7,60,26
2022,11,401391679,9,5,73,29
2022,11,401391683,8,3,70,29
2022,11,401391692,3,12,60,34
2022,11,401391698,24,1,68,18
2022,11,401391702,17,7,70,28
2022,11,401391710,8,5,62,28
2022,11,401391716,8,2,59,27
2022,11,401391726,12,4,67,28
2022,11,401391730,6,7,62,31
2022,11,401391732,12,2,62,24
2022,11,401391736,5,9,67,34
2022,11,401391739,7,6,65,31
2022,11,401391748,10,1,58,23
2022,11,401391752,10,9,58,27
2022,11,401391756,21,6,69,29
2022,11,401391761,16,3,69,26
2022,11,401391766,8,10,70,38
2022,11,401391772,13,4,66,27
2022,11,401391777,9,4,57,26
2022,11,401391784,16,3,66,27
2022,11,401391789,18,7,78,32
2022,11,401391794,17,4,69,26
2022,11,401391801,9,3,63,26
2022,11,401391812,10,6,65,30
2022,11,401391821,6,6,64,32
2022,11,401391827,12,3,64,24
2022,11,401391831,18,3,64,23
2022,11,401391838,21,3,69,23
2022,11,401391843,16,1,72,27
2022,11,401391853,10,1,67,28
2022,11,401391859,9,15,68,35
2022,11,401391863,7,6,59,27
2022,11,401455628,23,2,74,23
2022,11,401455652,13,12,73,34
2022,14,401391653,6,7,66,35
2022,14,401391657,13,2,76,27
2022,14,401391663,16,4,71,27
2022,14,401391667,23,1,77,24
2022,14,401391677,10,3,70,29
2022,14,401391682,12,4,69,29
2022,14,401391695,19,5,65,23
2022,14,401391699,10,8,73,36
2022,14,401391711,16,1,63,20
2022,14,401391717,9,10,70,34
2022,14,401391719,8,3,61,25
2022,14,401391724,5,6,67,37
2022,14,401391729,6,6,62,29
2022,14,401391733,18,3,73,28
2022,14,401391738,10,3,66,28
2022,14,401391741,11,1,75,32
2022,14,401391753,8,7,68,31
2022,14,401391757,12,5,63,26
2022,14,401391767,11,4,70,31
2022,14,401391771,10,4,59,25
2022,14,401391774,12,0,63,22
2022,14,401391778,6,6,76,37
2022,14,401391785,2,19,65,42
2022,14,401391786,6,7,63,30
2022,14,401391802,9,2,70,30
2022,14,401391806,14,4,69,29
2022,14,401391812,23,3,82,30
2022,14,401391816,9,3,63,27
2022,14,401391819,4,7,64,31
2022,14,401391824,14,4,68,29
2022,14,401391829,7,4,59,26
2022,14,401391837,12,11,70,35
2022,14,401391846,11,5,66,29
2022,14,401391849,4,14,75,44
2022,14,401391858,8,9,72,38
2022,14,401391864,9,8,82,38
2022,14,401455650,7,12,63,32
2022,14,401455654,5,9,63,35
2022,14,401455660,18,4,75,31
2022,14,401455674,14,6,69,28
2022,14,401455676,9,10,69,35
2022,14,401455678,12,6,70,31
2022,16,401391650,14,8,69,31
2022,16,401391658,13,3,69,29
2022,16,401391659,16,9,74,33
2022,16,401391664,10,12,59,31
2022,16,401391674,4,8,66,34
2022,16,401391681,8,4,55,25
2022,16,401391686,17,2,72,27
2022,16,401391689,10,5,60,26
2022,16,401391697,18,6,70,28
2022,16,401391701,9,9,72,33
2022,16,401391708,15,5,70,28
2022,16,401391714,10,10,75,34
2022,16,401391721,10,6,68,32
2022,16,401391725,7,4,69,30
2022,16,401391730,11,5,67,28
2022,16,401391732,14,4,71,30
2022,16,401391737,12,1,65,24
2022,16,401391743,12,9,65,27
2022,16,401391749,13,2,70,29
2022,16,401391753,17,1,70,26
2022,16,401391758,4,6,62,31
2022,16,401391763,3,4,58,32
2022,16,401391773,11,3,59,25
2022,16,401391781,8,9,63,31
2022,16,401391790,10,13,65,33
2022,16,401391794,17,1,65,22
2022,16,401391800,13,3,69,26
2022,16,401391807,12,5,66,29
2022,16,401391820,5,13,55,31
2022,16,401391824,15,6,67,28
2022,16,401391829,8,4,67,30
2022,16,401391833,7,3,68,31
2022,16,401391841,8,5,66,31
2022,16,401391845,13,3,65,25
2022,16,401391856,7,3,68,31
2022,16,401391862,7,8,60,29
2022,16,401455650,3,4,66,32
2022,16,401455654,11,5,65,29
2022,17,401391652,2,10,67,39
2022,17,401391657,8,4,67,30
2022,17,401391659,11,4,65,27
2022,17,401391665,8,7,68,32
2022,17,401391675,6,4,62,29
2022,17,401391678,10,8,67,31
2022,17,401391683,8,4,71,34
2022,17,401391687,13,12,71,36
2022,17,401391696,21,2,84,31
2022,17,401391703,9,5,73,33
2022,17,401391707,6,6,66,32
2022,17,401391715,20,10,71,30
2022,17,401391727,12,9,68,33
2022,17,401391734,5,5,71,35
2022,17,401391745,13,7,78,35
2022,17,401391747,16,6,75,33
2022,17,401391758,11,2,71,29
2022,17,401391762,9,5,61,26
2022,17,401391767,14,4,73,29
2022,17,401391770,8,7,70,36
2022,17,401391775,16,4,68,25
2022,17,401391782,9,11,69,34
2022,17,401391787,8,6,64,33
2022,17,401391792,8,14,71,38
2022,17,401391799,14,7,74,31
2022,17,401391804,14,2,71,26
2022,17,401391809,9,8,77,37
2022,17,401391814,14,5,70,29
2022,17,401391822,7,11,72,38
2022,17,401391828,11,14,71,36
2022,17,401391833,8,3,64,26
2022,17,401391839,7,3,69,31
2022,17,401391846,7,2,76,35
2022,17,401391850,10,8,67,32
2022,17,401391854,6,4,67,31
2022,17,401391864,5,11,70,39
2022,17,401430112,7,7,74,37
2022,17,401455628,15,5,64,26
2022,17,401455652,3,19,64,41
2022,17,401455660,13,4,68,28
2022,17,401455674,9,1,64,27
2022,17,401455676,7,9,74,37
2022,17,401455678,4,8,64,36
2022,17,401455681,12,4,58,23
2022,17,401455682,5,5,64,33
2022,17,401455683,12,7,60,27
2022,17,401455684,14,5,64,29
2022,18,401391654,13,4,64,27
2022,18,401391668,15,6,70,28
2022,18,401391672,8,7,62,30
2022,18,401391680,14,4,71,31
2022,18,401391685,12,13,68,35
2022,18,401391688,9,1,68,27
2022,18,401391693,8,5,70,34
2022,18,401391697,2,6,57,28
2022,18,401391703,13,6,78,34
2022,18,401391707,12,14,72,36
2022,18,401391710,13,10,59,28
2022,18,401391717,1,7,58,32
2022,18,401391720,6,6,66,31
2022,18,401391722,9,8,76,35
2022,18,401391735,6,11,77,40
2022,18,401391738,3,7,69,36
2022,18,401391743,16,1,60,22
